"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45501914140,5556;2;1;1;5;;;;;;;;;"28/07/2024 21:56:22";"";""
45501914186,2847;2;3;1;5;;;;;;;;;"28/07/2024 21:56:26";"";""
45501914221,5856;2;1;2;1;;;;;;;;;"28/07/2024 21:56:29";"";""
45501914221,5856;2;1;2;2;;;;;;;;;"28/07/2024 21:56:29";"";""
45501914221,5856;2;1;1;25;;;;;;;;;"28/07/2024 21:56:29";"";""
45501914221,5856;2;2;1;5;;;;;;;;;"28/07/2024 21:56:29";"";""
45501914233,1481;2;0;2;1;;;;;;;;;"28/07/2024 21:56:30";"";""
45501914233,1481;2;0;2;2;;;;;;;;;"28/07/2024 21:56:30";"";""
45501914233,1481;2;0;1;25;;;;;;;;;"28/07/2024 21:56:30";"";""
45501914276,3773;2;6;1;25;;;;;;;;;"28/07/2024 21:56:33";"";""
45502703583,5995;2;1;1;25;;;;;;;;;"29/07/2024 16:53:10";"";""
45502703595,1852;2;0;1;25;;;;;;;;;"29/07/2024 16:53:11";"";""
"$RT_COUNT$";13;;;;;;;;;;;;;;;
