"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45528385146,169;2;1;1;5;;;;;;;;;"24/08/2024 09:14:37";"";""
45528385227,1759;2;1;2;1;;;;;;;;;"24/08/2024 09:14:44";"";""
45528385227,1759;2;1;2;2;;;;;;;;;"24/08/2024 09:14:44";"";""
45528385227,1759;2;1;1;25;;;;;;;;;"24/08/2024 09:14:44";"";""
45528385227,1759;2;0;1;5;;;;;;;;;"24/08/2024 09:14:44";"";""
45528385238,7616;2;0;2;1;;;;;;;;;"24/08/2024 09:14:45";"";""
45528385238,7616;2;0;2;2;;;;;;;;;"24/08/2024 09:14:45";"";""
45528385238,7616;2;0;1;25;;;;;;;;;"24/08/2024 09:14:45";"";""
45529084286,5625;2;6;1;5;;;;;;;;;"25/08/2024 02:01:22";"";""
45529084286,5625;2;6;1;25;;;;;;;;;"25/08/2024 02:01:22";"";""
45529363857,9514;2;1;1;5;;;;;;;;;"25/08/2024 08:43:57";"";""
45529363878,8889;2;3;1;5;;;;;;;;;"25/08/2024 08:43:59";"";""
45529363938,9236;2;1;2;1;;;;;;;;;"25/08/2024 08:44:04";"";""
45529363938,9236;2;1;2;2;;;;;;;;;"25/08/2024 08:44:04";"";""
45529363938,9236;2;1;1;25;;;;;;;;;"25/08/2024 08:44:04";"";""
45529363938,9352;2;2;1;5;;;;;;;;;"25/08/2024 08:44:04";"";""
45529363950,5093;2;0;2;1;;;;;;;;;"25/08/2024 08:44:05";"";""
45529363950,5093;2;0;2;2;;;;;;;;;"25/08/2024 08:44:05";"";""
45529363950,5093;2;0;1;25;;;;;;;;;"25/08/2024 08:44:05";"";""
"$RT_COUNT$";20;;;;;;;;;;;;;;;
