"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45469211805,8333;2;1;1;25;;;;;;;;;"26/06/2024 05:05:00";"";""
45469211817,3727;2;0;1;25;;;;;;;;;"26/06/2024 05:05:01";"";""
45469455570,2894;2;1;1;5;;;;;;;;;"26/06/2024 10:56:01";"";""
45469455592,9167;2;6;1;25;;;;;;;;;"26/06/2024 10:56:03";"";""
45469455592,9167;2;3;1;5;;;;;;;;;"26/06/2024 10:56:03";"";""
45469455651,2847;2;1;2;1;;;;;;;;;"26/06/2024 10:56:08";"";""
45469455651,2847;2;1;2;2;;;;;;;;;"26/06/2024 10:56:08";"";""
45469455651,2847;2;1;1;25;;;;;;;;;"26/06/2024 10:56:08";"";""
45469455651,2847;2;2;1;5;;;;;;;;;"26/06/2024 10:56:08";"";""
45469455662,8472;2;0;2;1;;;;;;;;;"26/06/2024 10:56:09";"";""
45469455662,8472;2;0;2;2;;;;;;;;;"26/06/2024 10:56:09";"";""
45469455662,8472;2;0;1;25;;;;;;;;;"26/06/2024 10:56:09";"";""
45470230463,669;2;1;1;25;;;;;;;;;"27/06/2024 05:31:52";"";""
45470230475,2431;2;0;1;25;;;;;;;;;"27/06/2024 05:31:53";"";""
45470426831,7708;2;1;1;5;;;;;;;;;"27/06/2024 10:14:38";"";""
45470426865,9144;2;6;1;25;;;;;;;;;"27/06/2024 10:14:41";"";""
45470426865,9144;2;3;1;5;;;;;;;;;"27/06/2024 10:14:41";"";""
45470426912,7778;2;1;2;1;;;;;;;;;"27/06/2024 10:14:45";"";""
45470426912,7778;2;1;2;2;;;;;;;;;"27/06/2024 10:14:45";"";""
45470426912,7778;2;1;1;25;;;;;;;;;"27/06/2024 10:14:45";"";""
45470426912,7778;2;2;1;5;;;;;;;;;"27/06/2024 10:14:45";"";""
45470426924,3403;2;0;2;1;;;;;;;;;"27/06/2024 10:14:46";"";""
45470426924,3403;2;0;2;2;;;;;;;;;"27/06/2024 10:14:46";"";""
45470426924,3519;2;0;1;25;;;;;;;;;"27/06/2024 10:14:46";"";""
"$RT_COUNT$";25;;;;;;;;;;;;;;;
